Time[s], Channel 0,Interval,Over Limit
0,1,,
1.239855,0,,
6.627015,1,,
6.62705,0,,
6.726685,1,99.67,
6.72672,0,,
6.82636,1,99.675,
6.826395,0,,
6.92603,1,99.67,
6.926065,0,,
7.025705,1,99.675,
7.02574,0,,
7.125395,1,99.69,
7.125435,0,,
7.22506,1,99.665,
7.225095,0,,
7.324725,1,99.665,
7.324765,0,,
7.424405,1,99.68,
7.42444,0,,
7.524075,1,99.67,
7.52411,0,,
7.623775,1,99.7,
7.62381,0,,
7.723435,1,99.66,
7.72347,0,,
7.82311,1,99.675,
7.823145,0,,
7.922775,1,99.665,
7.92281,0,,
8.022435,1,99.66,
8.022475,0,,
8.1221,1,99.665,
8.122135,0,,
8.221775,1,99.675,
8.22181,0,,
8.321455,1,99.68,
8.321495,0,,
8.42112,1,99.665,
8.421155,0,,
8.520805,1,99.685,
8.52084,0,,
8.62048,1,99.675,
8.620515,0,,
8.72016,1,99.68,
8.720195,0,,
8.819815,1,99.655,
8.81985,0,,
8.919475,1,99.66,
8.91951,0,,
9.01915,1,99.675,
9.019185,0,,
9.118835,1,99.685,
9.11887,0,,
9.2185,1,99.665,
9.218535,0,,
9.318165,1,99.665,
9.3182,0,,
9.41785,1,99.685,
9.417885,0,,
9.51753,1,99.68,
9.517565,0,,
9.61722,1,99.69,
9.61726,0,,
9.7169,1,99.68,
9.716935,0,,
9.816565,1,99.665,
9.8166,0,,
9.91623,1,99.665,
9.91627,0,,
10.015895,1,99.665,
10.01593,0,,
10.115575,1,99.68,
10.11561,0,,
10.21526,1,99.685,
10.215295,0,,
10.31486,1,99.6,
10.314895,0,,
10.414545,1,99.685,
10.414585,0,,
10.514225,1,99.68,
10.51426,0,,
10.613915,1,99.69,
10.61395,0,,
10.713575,1,99.66,
10.713615,0,,
10.813235,1,99.66,
10.81327,0,,
10.912905,1,99.67,
10.91294,0,,
11.01258,1,99.675,
11.012615,0,,
11.11224,1,99.66,
11.11228,0,,
11.211905,1,99.665,
11.211945,0,,
11.31159,1,99.685,
11.311625,0,,
11.411275,1,99.685,
11.41131,0,,
11.51096,1,99.685,
11.511,0,,
11.610635,1,99.675,
11.61067,0,,
11.710295,1,99.66,
11.71033,0,,
11.809965,1,99.67,
11.81,0,,
11.90963,1,99.665,
11.909665,0,,
12.00931,1,99.68,
12.009345,0,,
12.10899,1,99.68,
12.109025,0,,
12.20858,1,99.59,
12.208615,0,,
12.30827,1,99.69,
12.308305,0,,
12.407945,1,99.675,
12.40798,0,,
12.507635,1,99.69,
12.507675,0,,
12.607305,1,99.67,
12.607345,0,,
12.706975,1,99.67,
12.707015,0,,
12.806655,1,99.68,
12.80669,0,,
12.906335,1,99.68,
12.906375,0,,
13.00601,1,99.675,
13.006045,0,,
13.10568,1,99.67,
13.105715,0,,
13.20537,1,99.69,
13.205405,0,,
13.305065,1,99.695,
13.3051,0,,
13.404765,1,99.7,
13.404805,0,,
13.50446,1,99.695,
13.504495,0,,
13.60413,1,99.67,
13.60417,0,,
13.70381,1,99.68,
13.703845,0,,
13.80348,1,99.67,
13.803515,0,,
13.903165,1,99.685,
13.9032,0,,
14.002855,1,99.69,
14.00289,0,,
14.102455,1,99.6,
14.10249,0,,
14.20215,1,99.695,
14.202185,0,,
14.301835,1,99.685,
14.301875,0,,
14.401505,1,99.67,
14.401545,0,,
14.501205,1,99.7,
14.50124,0,,
14.60088,1,99.675,
14.600915,0,,
14.70057,1,99.69,
14.70061,0,,
14.800265,1,99.695,
14.8003,0,,
14.899935,1,99.67,
14.89997,0,,
14.999615,1,99.68,
14.99965,0,,
15.0993,1,99.685,
15.099335,0,,
15.198995,1,99.695,
15.19903,0,,
15.298655,1,99.66,
15.298695,0,,
15.39834,1,99.685,
15.398375,0,,
15.498015,1,99.675,
15.49805,0,,
15.59768,1,99.665,
15.597715,0,,
15.697345,1,99.665,
15.69738,0,,
15.797025,1,99.68,
15.79706,0,,
15.896715,1,99.69,
15.89675,0,,
15.996305,1,99.59,
15.99634,0,,
16.095995,1,99.69,
16.096035,0,,
16.195685,1,99.69,
16.19572,0,,
16.295375,1,99.69,
16.29541,0,,
16.39504,1,99.665,
16.395075,0,,
16.49471,1,99.67,
16.494745,0,,
16.594385,1,99.675,
16.594425,0,,
16.69407,1,99.685,
16.69411,0,,
16.793755,1,99.685,
16.79379,0,,
16.893425,1,99.67,
16.893465,0,,
16.9931,1,99.675,
16.993135,0,,
17.092805,1,99.705,
17.09284,0,,
17.192475,1,99.67,
17.19251,0,,
17.29217,1,99.695,
17.292205,0,,
17.391845,1,99.675,
17.39188,0,,
17.491535,1,99.69,
17.49157,0,,
17.591205,1,99.67,
17.59124,0,,
17.69087,1,99.665,
17.69091,0,,
17.79056,1,99.69,
17.790595,0,,
17.890245,1,99.685,
17.89028,0,,
17.989905,1,99.66,
17.98994,0,,
18.08958,1,99.675,
18.089615,0,,
18.189235,1,99.655,
18.18927,0,,
18.288895,1,99.66,
18.28893,0,,
18.388565,1,99.67,
18.3886,0,,
18.488225,1,99.66,
18.48826,0,,
18.587885,1,99.66,
18.58792,0,,
18.68755,1,99.665,
18.687585,0,,
18.78722,1,99.67,
18.787255,0,,
18.88688,1,99.66,
18.886915,0,,
18.98654,1,99.66,
18.986575,0,,
19.086205,1,99.665,
19.08624,0,,
19.185865,1,99.66,
19.1859,0,,
19.28553,1,99.665,
19.285565,0,,
19.385225,1,99.695,
19.38526,0,,
19.484895,1,99.67,
19.48493,0,,
19.584565,1,99.67,
19.584605,0,,
19.684265,1,99.7,
19.684305,0,,
19.78396,1,99.695,
19.783995,0,,
19.88363,1,99.67,
19.883665,0,,
19.983325,1,99.695,
19.98336,0,,
20.08299,1,99.665,
20.083025,0,,
20.182665,1,99.675,
20.1827,0,,
20.28235,1,99.685,
20.28239,0,,
20.382025,1,99.675,
20.38206,0,,
20.481685,1,99.66,
20.48172,0,,
20.58136,1,99.675,
20.581395,0,,
20.681035,1,99.675,
20.68107,0,,
20.780705,1,99.67,
20.78074,0,,
20.880365,1,99.66,
20.8804,0,,
20.98003,1,99.665,
20.980065,0,,
21.079695,1,99.665,
21.07973,0,,
21.17937,1,99.675,
21.179405,0,,
21.27906,1,99.69,
21.279095,0,,
21.378735,1,99.675,
21.37877,0,,
21.478405,1,99.67,
21.478445,0,,
21.5781,1,99.695,
21.578135,0,,
21.67778,1,99.68,
21.677815,0,,
21.777465,1,99.685,
21.777505,0,,
21.87716,1,99.695,
21.877195,0,,
21.97682,1,99.66,
21.97686,0,,
22.076495,1,99.675,
22.07653,0,,
22.17617,1,99.675,
22.176205,0,,
22.27583,1,99.66,
22.275865,0,,
22.37552,1,99.69,
22.375555,0,,
22.4752,1,99.68,
22.475235,0,,
22.574875,1,99.675,
22.57491,0,,
22.67453,1,99.655,
22.674565,0,,
22.774185,1,99.655,
22.77422,0,,
22.873845,1,99.66,
22.87388,0,,
22.97353,1,99.685,
22.973565,0,,
23.0732,1,99.67,
23.073235,0,,
23.172885,1,99.685,
23.17292,0,,
23.272545,1,99.66,
23.27258,0,,
23.372195,1,99.65,
23.372235,0,,
23.47188,1,99.685,
23.47192,0,,
23.571565,1,99.685,
23.5716,0,,
23.671245,1,99.68,
23.67128,0,,
23.77093,1,99.685,
23.770965,0,,
23.870595,1,99.665,
23.870635,0,,
23.970265,1,99.67,
23.970305,0,,
24.06995,1,99.685,
24.069985,0,,
24.16961,1,99.66,
24.169645,0,,
24.2693,1,99.69,
24.269335,0,,
24.368985,1,99.685,
24.36902,0,,
24.468655,1,99.67,
24.468695,0,,
24.56832,1,99.665,
24.568355,0,,
24.66798,1,99.66,
24.66802,0,,
24.767645,1,99.665,
24.76768,0,,
24.86733,1,99.685,
24.867365,0,,
24.966955,1,99.625,
24.96699,0,,
25.06664,1,99.685,
25.066675,0,,
25.166305,1,99.665,
25.16634,0,,
25.265965,1,99.66,
25.266,0,,
25.36565,1,99.685,
25.365685,0,,
25.4653,1,99.65,
25.46534,0,,
25.564985,1,99.685,
25.56502,0,,
25.66466,1,99.675,
25.664695,0,,
25.76432,1,99.66,
25.764355,0,,
25.86398,1,99.66,
25.864015,0,,
25.963655,1,99.675,
25.96369,0,,
26.06332,1,99.665,
26.063355,0,,
26.163015,1,99.695,
26.16305,0,,
26.262685,1,99.67,
26.262725,0,,
26.36236,1,99.675,
26.362395,0,,
26.462025,1,99.665,
26.46206,0,,
26.56169,1,99.665,
26.56173,0,,
26.661365,1,99.675,
26.6614,0,,
26.76103,1,99.665,
26.761065,0,,
26.8606,1,99.57,
26.860635,0,,
26.960265,1,99.665,
26.9603,0,,
27.059935,1,99.67,
27.05997,0,,
27.1596,1,99.665,
27.159635,0,,
27.25928,1,99.68,
27.259315,0,,
27.358935,1,99.655,
27.35897,0,,
27.458605,1,99.67,
27.458645,0,,
27.558285,1,99.68,
27.55832,0,,
27.657945,1,99.66,
27.657985,0,,
27.757615,1,99.67,
27.75765,0,,
27.857295,1,99.68,
27.857335,0,,
27.95695,1,99.655,
27.956985,0,,
28.05664,1,99.69,
28.056675,0,,
28.15631,1,99.67,
28.156345,0,,
28.25598,1,99.67,
28.256015,0,,
28.355635,1,99.655,
28.355675,0,,
28.4553,1,99.665,
28.45534,0,,
28.554955,1,99.655,
28.554995,0,,
28.65464,1,99.685,
28.654675,0,,
28.75423,1,99.59,
28.754265,0,,
28.853915,1,99.685,
28.85395,0,,
28.95358,1,99.665,
28.953615,0,,
29.053245,1,99.665,
29.05328,0,,
29.15294,1,99.695,
29.15298,0,,
29.25261,1,99.67,
29.252645,0,,
29.35229,1,99.68,
29.352325,0,,
29.45198,1,99.69,
29.45202,0,,
29.55165,1,99.67,
29.551685,0,,
29.65132,1,99.67,
29.651355,0,,
29.751005,1,99.685,
29.75104,0,,
29.85066,1,99.655,
29.850695,0,,
29.95034,1,99.68,
29.95038,0,,
30.050015,1,99.675,
30.05005,0,,
30.149685,1,99.67,
30.14972,0,,
30.249345,1,99.66,
30.24938,0,,
30.349005,1,99.66,
30.349045,0,,
30.44867,1,99.665,
30.448705,0,,
30.54833,1,99.66,
30.548365,0,,
30.64795,1,99.62,
30.647985,0,,
30.74761,1,99.66,
30.747645,0,,
30.847275,1,99.665,
30.84731,0,,
30.94694,1,99.665,
30.94698,0,,
31.046635,1,99.695,
31.04667,0,,
31.14633,1,99.695,
31.146365,0,,
31.246015,1,99.685,
31.24605,0,,
31.34568,1,99.665,
31.345715,0,,
31.44537,1,99.69,
31.445405,0,,
31.545035,1,99.665,
31.54507,0,,
31.6447,1,99.665,
31.644735,0,,
31.74438,1,99.68,
31.744415,0,,
31.844065,1,99.685,
31.844105,0,,
31.943725,1,99.66,
31.94376,0,,
32.043395,1,99.67,
32.04343,0,,
32.14308,1,99.685,
32.143115,0,,
32.242765,1,99.685,
32.2428,0,,
32.342455,1,99.69,
32.342495,0,,
32.44214,1,99.685,
32.442175,0,,
32.54179,1,99.65,
32.54183,0,,
32.64146,1,99.67,
32.641495,0,,
32.741145,1,99.685,
32.74118,0,,
32.8408,1,99.655,
32.84084,0,,
32.94046,1,99.66,
32.9405,0,,
33.040145,1,99.685,
33.04018,0,,
33.13981,1,99.665,
33.13985,0,,
33.23948,1,99.67,
33.239515,0,,
33.339165,1,99.685,
33.339205,0,,
33.438825,1,99.66,
33.43886,0,,
33.53849,1,99.665,
33.538525,0,,
33.63816,1,99.67,
33.638195,0,,
33.737845,1,99.685,
33.73788,0,,
33.8375,1,99.655,
33.837535,0,,
33.937155,1,99.655,
33.93719,0,,
34.036825,1,99.67,
34.03686,0,,
34.13651,1,99.685,
34.136545,0,,
34.23619,1,99.68,
34.23623,0,,
34.335875,1,99.685,
34.33591,0,,
34.43553,1,99.655,
34.435565,0,,
34.53521,1,99.68,
34.53525,0,,
34.6349,1,99.69,
34.63494,0,,
34.734575,1,99.675,
34.73461,0,,
34.834255,1,99.68,
34.83429,0,,
34.93394,1,99.685,
34.93398,0,,
35.03361,1,99.67,
35.033645,0,,
35.13328,1,99.67,
35.133315,0,,
35.232965,1,99.685,
35.233,0,,
35.33262,1,99.655,
35.33266,0,,
35.432275,1,99.655,
35.432315,0,,
35.531955,1,99.68,
35.53199,0,,
35.63164,1,99.685,
35.631675,0,,
35.731295,1,99.655,
35.73133,0,,
35.83096,1,99.665,
35.830995,0,,
35.930635,1,99.675,
35.93067,0,,
36.03033,1,99.695,
36.030365,0,,
36.13001,1,99.68,
36.130045,0,,
36.229695,1,99.685,
36.22973,0,,
36.32939,1,99.695,
36.329425,0,,
36.42908,1,99.69,
36.429115,0,,
36.52876,1,99.68,
36.528795,0,,
36.62842,1,99.66,
36.628455,0,,
36.72808,1,99.66,
36.728115,0,,
36.827735,1,99.655,
36.82777,0,,
36.9274,1,99.665,
36.927435,0,,
37.02706,1,99.66,
37.027095,0,,
37.126715,1,99.655,
37.126755,0,,
37.226405,1,99.69,
37.22644,0,,
37.326075,1,99.67,
37.32611,0,,
37.425755,1,99.68,
37.425795,0,,
37.52544,1,99.685,
37.525475,0,,
37.625095,1,99.655,
37.625135,0,,
37.72476,1,99.665,
37.724795,0,,
37.82443,1,99.67,
37.82447,0,,
37.924095,1,99.665,
37.92413,0,,
38.023775,1,99.68,
38.02381,0,,
38.12346,1,99.685,
38.1235,0,,
38.223145,1,99.685,
38.223185,0,,
38.32283,1,99.685,
38.322865,0,,
38.422505,1,99.675,
38.42254,0,,
38.52217,1,99.665,
38.522205,0,,
38.62183,1,99.66,
38.621865,0,,
38.721485,1,99.655,
38.72152,0,,
38.82115,1,99.665,
38.821185,0,,
38.920825,1,99.675,
38.92086,0,,
39.02048,1,99.655,
39.020515,0,,
39.12016,1,99.68,
39.120195,0,,
39.219825,1,99.665,
39.21986,0,,
39.3195,1,99.675,
39.319535,0,,
39.41919,1,99.69,
39.419225,0,,
39.51885,1,99.66,
39.518885,0,,
39.61851,1,99.66,
39.618545,0,,
39.71818,1,99.67,
39.718215,0,,
39.817835,1,99.655,
39.81787,0,,
39.91751,1,99.675,
39.917545,0,,
40.017195,1,99.685,
40.017235,0,,
40.11689,1,99.695,
40.116925,0,,
40.21658,1,99.69,
40.216615,0,,
40.31626,1,99.68,
40.316295,0,,
40.41592,1,99.66,
40.415955,0,,
40.515585,1,99.665,
40.51562,0,,
40.615245,1,99.66,
40.615285,0,,
40.714915,1,99.67,
40.71495,0,,
40.81459,1,99.675,
40.814625,0,,
40.914245,1,99.655,
40.914285,0,,
41.01393,1,99.685,
41.01397,0,,
41.1136,1,99.67,
41.113635,0,,
41.213285,1,99.685,
41.21332,0,,
41.312975,1,99.69,
41.31301,0,,
41.41264,1,99.665,
41.412675,0,,
41.51231,1,99.67,
41.512345,0,,
41.61199,1,99.68,
41.61203,0,,
41.711655,1,99.665,
41.71169,0,,
41.811335,1,99.68,
41.81137,0,,
41.91103,1,99.695,
41.911065,0,,
42.010725,1,99.695,
42.01076,0,,
42.110385,1,99.66,
42.110425,0,,
42.21007,1,99.685,
42.210105,0,,
42.30974,1,99.67,
42.309775,0,,
42.409395,1,99.655,
42.40943,0,,
42.509055,1,99.66,
42.50909,0,,
42.608725,1,99.67,
42.60876,0,,
42.70839,1,99.665,
42.708425,0,,
42.80805,1,99.66,
42.808085,0,,
42.907735,1,99.685,
42.90777,0,,
43.007415,1,99.68,
43.00745,0,,
43.10709,1,99.675,
43.10713,0,,
43.206785,1,99.695,
43.20682,0,,
43.30645,1,99.665,
43.306485,0,,
43.406115,1,99.665,
43.40615,0,,
43.50579,1,99.675,
43.505825,0,,
43.605445,1,99.655,
43.605485,0,,
43.705125,1,99.68,
43.70516,0,,
43.80478,1,99.655,
43.80482,0,,
43.904455,1,99.675,
43.904495,0,,
44.004115,1,99.66,
44.00415,0,,
44.10379,1,99.675,
44.103825,0,,
44.203455,1,99.665,
44.203495,0,,
44.303125,1,99.67,
44.30316,0,,
44.40279,1,99.665,
44.40283,0,,
44.50246,1,99.67,
44.502495,0,,
44.60212,1,99.66,
44.60216,0,,
44.70178,1,99.66,
44.701815,0,,
44.801385,1,99.605,
44.80142,0,,
44.90105,1,99.665,
44.901085,0,,
45.000725,1,99.675,
45.00076,0,,
45.100415,1,99.69,
45.10045,0,,
45.200075,1,99.66,
45.20011,0,,
45.299735,1,99.66,
45.29977,0,,
45.39942,1,99.685,
45.39946,0,,
45.49909,1,99.67,
45.499125,0,,
45.598765,1,99.675,
45.5988,0,,
45.698425,1,99.66,
45.69846,0,,
45.798105,1,99.68,
45.79814,0,,
45.897795,1,99.69,
45.89783,0,,
45.997465,1,99.67,
45.997505,0,,
46.09713,1,99.665,
46.097165,0,,
46.196795,1,99.665,
46.196835,0,,
46.29646,1,99.665,
46.296495,0,,
46.396135,1,99.675,
46.39617,0,,
46.49581,1,99.675,
46.495845,0,,
46.59548,1,99.67,
46.595515,0,,
46.695095,1,99.615,
46.695135,0,,
46.794765,1,99.67,
46.7948,0,,
46.89444,1,99.675,
46.894475,0,,
46.9941,1,99.66,
46.994135,0,,
47.09377,1,99.67,
47.093805,0,,
47.193435,1,99.665,
47.193475,0,,
47.293115,1,99.68,
47.29315,0,,
47.39278,1,99.665,
47.392815,0,,
47.49246,1,99.68,
47.492495,0,,
47.59215,1,99.69,
47.592185,0,,
47.69184,1,99.69,
47.691875,0,,
47.791505,1,99.665,
47.79154,0,,
47.891175,1,99.67,
47.89121,0,,
47.99084,1,99.665,
47.99088,0,,
48.090505,1,99.665,
48.09054,0,,
48.19017,1,99.665,
48.190205,0,,
48.289845,1,99.675,
48.28988,0,,
48.389515,1,99.67,
48.38955,0,,
48.489165,1,99.65,
48.4892,0,,
48.588795,1,99.63,
48.58883,0,,
48.688465,1,99.67,
48.688505,0,,
48.788155,1,99.69,
48.78819,0,,
48.887825,1,99.67,
48.887865,0,,
48.987505,1,99.68,
48.98754,0,,
49.087185,1,99.68,
49.08722,0,,
49.18684,1,99.655,
49.18688,0,,
49.28651,1,99.67,
49.28655,0,,
49.386175,1,99.665,
49.38621,0,,
