Opening port
Debug on
Port open
Compiled: Apr  2 2015, 13:03:29,
#,Parameter,value,comment
#,sampRate,250,Samples per second desired
#,sampFreq,250,Samples per second used
#,sampIntUSec,4000,Sample interval in microseconds
#,MinCumCuts,6,Minimum number of cumulative cuts per snippet for displacement
#,M,2
#,N,8

Not logging to SD card
Logging to serial
$,Sample,I,Q,IsCut,CurrCuts,RunCuts,Disp,Conf
$,1,20,38,0,0,0,,
$,2,24,23,0,0,0,,
$,3,28,24,0,0,0,,
$,4,24,24,0,0,0,,
$,5,19,23,0,0,0,,
$,6,23,23,0,0,0,,
$,7,28,23,0,0,0,,
$,8,23,25,0,0,0,,
$,9,18,24,0,0,0,,
$,10,23,22,0,0,0,,
$,11,27,23,0,0,0,,
$,12,22,25,0,0,0,,
$,13,20,23,-1,-1,-1,,
$,14,23,21,0,-1,-1,,
$,15,25,23,0,-1,-1,,
$,16,22,25,0,-1,-1,,
$,17,21,23,-1,-2,-2,,
$,18,23,20,0,-2,-2,,
$,19,23,22,0,-2,-2,,
$,20,22,27,0,-2,-2,,
$,21,23,23,0,-2,-2,,
$,22,23,20,0,-2,-2,,
$,23,23,23,0,-2,-2,,
$,24,23,27,0,-2,-2,,
$,25,23,23,0,-2,-2,,
$,26,23,19,0,-2,-2,,
$,27,22,23,0,-2,-2,,
$,28,22,27,0,-2,-2,,
$,29,23,23,0,-2,-2,,
$,30,22,19,0,-2,-2,,
$,31,22,23,0,-2,-2,,
$,32,22,27,0,-2,-2,,
$,33,23,23,0,-2,-2,,
$,34,22,18,0,-2,-2,,
$,35,21,22,0,-2,-2,,
$,36,22,27,1,-1,-1,,
$,37,24,22,0,-1,-1,,
$,38,22,19,0,-1,-1,,
$,39,20,23,0,-1,-1,,
$,40,22,25,0,-1,-1,,
$,41,24,22,0,-1,-1,,
$,42,22,21,0,-1,-1,,
$,43,18,23,0,-1,-1,,
$,44,21,22,0,-1,-1,,
$,45,25,21,0,-1,-1,,
$,46,21,22,0,-1,-1,,
$,47,18,22,0,-1,-1,,
$,48,21,22,0,-1,-1,,
$,49,26,22,0,-1,-1,,
$,50,22,22,0,-1,-1,,
$,51,17,22,0,-1,-1,,
$,52,21,21,0,-1,-1,,
$,53,24,21,0,-1,-1,,
$,54,20,22,0,-1,-1,,
$,55,17,21,0,-1,-1,,
$,56,20,20,0,-1,-1,,
$,57,26,21,0,-1,-1,,
$,58,21,22,0,-1,-1,,
$,59,17,21,0,-1,-1,,
$,60,21,21,0,-1,-1,,
$,61,26,21,0,-1,-1,,
$,62,21,23,0,-1,-1,,
$,63,17,22,0,-1,-1,,
$,64,21,20,0,-1,-1,,
$,65,25,21,0,-1,-1,,
$,66,21,24,0,-1,-1,,
$,67,19,22,0,-1,-1,,
$,68,22,19,0,-1,-1,,
$,69,22,21,0,-1,-1,,
$,70,20,24,1,0,0,,
$,71,21,21,-1,-1,-1,,
$,72,21,17,0,-1,-1,,
