Opening port
Port open
Debug on
Debug on
Compiled: Apr  3 2015, 14:43:17,
sampRate: 250 sampFreq: 250 sampIntUSec: 4000
MinCumCuts: 6 MinMinorDisplacements (M): 2 NumSecondsDisplacementLifetime (N): 8

Not logging to SD card
Logging to serial
Sample,I,Q,SumI,SumQ,CompI,CompQ,IsCut,CurrCuts,RunCuts,Disp,Conf
1,21,36,21,36,0,0,0,0,0,0,0
2,22,27,43,63,1,-4,0,0,0,0,0
3,23,22,66,85,1,-6,0,0,0,0,0
4,22,17,88,102,0,-8,0,0,0,0,0
5,21,22,109,124,0,-2,0,0,0,0,0
6,22,26,131,150,1,1,0,0,0,0,0
7,23,21,154,171,1,-3,0,0,0,0,0
8,22,18,176,189,0,-5,0,0,0,0,0
9,20,22,196,211,-1,-1,0,0,0,0,0
10,21,25,217,236,0,2,1,1,1,0,0
11,23,21,240,257,2,-2,0,1,1,0,0
12,21,19,261,276,0,-4,0,1,1,0,0
13,19,22,280,298,-2,0,0,1,1,0,0
14,21,23,301,321,0,1,0,1,1,0,0
15,22,21,323,342,1,-1,0,1,1,0,0
16,20,21,343,363,-1,-1,0,1,1,0,0
17,18,22,361,385,-3,0,0,1,1,0,0
18,20,21,381,406,-1,-1,0,1,1,0,0
19,23,21,404,427,2,-1,0,1,1,0,0
20,20,21,424,448,-1,-1,0,1,1,0,0
21,17,21,441,469,-4,-1,0,1,1,0,0
22,20,21,461,490,0,-1,0,1,1,0,0
23,24,21,485,511,3,-1,0,1,1,0,0
24,20,21,505,532,-1,-1,0,1,1,0,0
25,16,21,521,553,-4,-1,0,1,1,0,0
26,20,20,541,573,0,-2,0,1,1,0,0
27,25,20,566,593,5,-1,0,1,1,0,0
28,20,22,586,615,0,1,0,1,1,0,0
29,16,21,602,636,-4,0,0,1,1,0,0
30,20,20,622,656,0,-1,0,1,1,0,0
31,24,21,646,677,4,0,0,1,1,0,0
32,20,21,666,698,0,0,0,1,1,0,0
33,16,20,682,718,-4,-1,0,1,1,0,0
34,20,19,702,737,0,-2,0,1,1,0,0
35,24,20,726,757,4,-1,0,1,1,0,0
36,20,22,746,779,0,1,0,1,1,0,0
37,17,20,763,799,-3,-1,-1,0,0,0,0
38,20,18,783,817,0,-3,0,0,0,0,0
39,22,20,805,837,2,-1,0,0,0,0,0
40,19,22,824,859,-1,1,0,0,0,0,0
41,19,20,843,879,-1,-1,-1,-1,-1,0,0
42,20,17,863,896,0,-4,0,-1,-1,0,0
43,20,19,883,915,0,-2,0,-1,-1,0,0
44,19,21,902,936,-1,0,0,-1,-1,0,0
45,20,19,922,955,0,-2,0,-1,-1,0,0
46,20,16,942,971,0,-5,0,-1,-1,0,0
47,19,18,961,989,-1,-3,0,-1,-1,0,0
48,19,24,980,1013,-1,3,1,0,0,0,0
49,19,20,999,1033,-1,-1,-1,-1,-1,0,0
50,19,16,1018,1049,-1,-4,0,-1,-1,0,0
51,19,20,1037,1069,-1,0,0,-1,-1,0,0
52,19,23,1056,1092,-1,2,0,-1,-1,0,0
53,20,19,1076,1111,0,-1,-1,-2,-2,0,0
54,19,15,1095,1126,-1,-5,0,-2,-2,0,0
55,18,19,1113,1145,-2,-1,0,-2,-2,0,0
56,19,23,1132,1168,-1,3,1,-1,-1,0,0
57,20,19,1152,1187,0,-1,-1,-2,-2,0,0
58,19,15,1171,1202,-1,-5,0,-2,-2,0,0
59,18,19,1189,1221,-2,-1,0,-2,-2,0,0
60,19,24,1208,1245,-1,4,1,-1,-1,0,0
61,20,19,1228,1264,0,-1,-1,-2,-2,0,0
62,19,15,1247,1279,-1,-5,0,-2,-2,0,0
63,16,19,1263,1298,-4,-1,0,-2,-2,0,0
64,18,22,1281,1320,-2,2,1,-1,-1,0,0
65,21,18,1302,1338,1,-2,-1,-2,-2,0,0
66,18,18,1320,1356,-2,-2,0,-2,-2,0,0
67,17,20,1337,1376,-2,0,0,-2,-2,0,0
68,19,19,1356,1395,0,-1,0,-2,-2,0,0
69,23,18,1379,1413,4,-2,0,-2,-2,0,0
70,20,18,1399,1431,1,-2,0,-2,-2,0,0
71,16,18,1415,1449,-3,-2,0,-2,-2,0,0
72,19,19,1434,1468,0,-1,0,-2,-2,0,0
73,23,18,1457,1486,4,-2,0,-2,-2,0,0
74,19,19,1476,1505,0,-1,0,-2,-2,0,0
75,14,19,1490,1524,-5,-1,0,-2,-2,0,0
76,18,18,1508,1542,-1,-2,0,-2,-2,0,0
77,22,18,1530,1560,3,-2,0,-2,-2,0,0
78,18,19,1548,1579,-1,-1,0,-2,-2,0,0
79,14,18,1562,1597,-5,-2,0,-2,-2,0,0
80,18,18,1580,1615,-1,-2,0,-2,-2,0,0
81,23,18,1603,1633,4,-2,0,-2,-2,0,0
82,18,20,1621,1653,-1,0,0,-2,-2,0,0
83,14,19,1635,1672,-5,-1,0,-2,-2,0,0
84,18,17,1653,1689,-1,-3,0,-2,-2,0,0
85,23,18,1676,1707,4,-2,0,-2,-2,0,0
86,18,20,1694,1727,-1,0,0,-2,-2,0,0
87,14,18,1708,1745,-5,-2,0,-2,-2,0,0
88,18,17,1726,1762,-1,-3,0,-2,-2,0,0
89,21,18,1747,1780,2,-2,0,-2,-2,0,0
90,17,20,1764,1800,-2,0,0,-2,-2,0,0
91,16,18,1780,1818,-3,-1,0,-2,-2,0,0
92,18,16,1798,1834,-1,-3,0,-2,-2,0,0
93,18,18,1816,1852,-1,-1,0,-2,-2,0,0
94,17,21,1833,1873,-2,2,1,-1,-1,0,0
95,18,18,1851,1891,-1,-1,-1,-2,-2,0,0
96,18,15,1869,1906,-1,-4,0,-2,-2,0,0
97,18,18,1887,1924,-1,-1,0,-2,-2,0,0
98,18,21,1905,1945,-1,2,1,-1,-1,0,0
99,18,18,1923,1963,-1,-1,-1,-2,-2,0,0
100,18,15,1941,1978,-1,-4,0,-2,-2,0,0
101,17,18,1958,1996,-2,-1,0,-2,-2,0,0
102,17,23,1975,2019,-2,4,1,-1,-1,0,0
103,19,19,1994,2038,0,0,0,-1,-1,0,0
104,18,14,2012,2052,-1,-5,0,-1,-1,0,0
105,17,18,2029,2070,-2,-1,0,-1,-1,0,0
106,18,22,2047,2092,-1,3,1,0,0,0,0
107,19,18,2066,2110,0,-1,-1,-1,-1,0,0
108,18,14,2084,2124,-1,-5,0,-1,-1,0,0
109,17,18,2101,2142,-2,-1,0,-1,-1,0,0
110,18,23,2119,2165,-1,4,1,0,0,0,0
111,19,18,2138,2183,0,-1,-1,-1,-1,0,0
112,18,14,2156,2197,-1,-5,0,-1,-1,0,0
113,16,18,2172,2215,-3,-1,0,-1,-1,0,0
114,17,21,2189,2236,-2,2,1,0,0,0,0
115,19,17,2208,2253,0,-2,-1,-1,-1,0,0
116,17,16,2225,2269,-2,-3,0,-1,-1,0,0
117,16,18,2241,2287,-3,-1,0,-1,-1,0,0
118,17,19,2258,2306,-2,0,0,-1,-1,0,0
119,20,17,2278,2323,1,-2,0,-1,-1,0,0
120,18,18,2296,2341,-1,-1,0,-1,-1,0,0
121,14,18,2310,2359,-5,-1,0,-1,-1,0,0
122,17,18,2327,2377,-2,-1,0,-1,-1,0,0
123,21,18,2348,2395,2,-1,0,-1,-1,0,0
124,17,18,2365,2413,-2,-1,0,-1,-1,0,0
125,14,18,2379,2431,-5,-1,0,-1,-1,0,0
126,17,17,2396,2448,-2,-2,0,-1,-1,0,0
127,21,17,2417,2465,2,-2,0,-1,-1,0,0
128,17,17,2434,2482,-2,-2,0,-1,-1,0,0
129,13,17,2447,2499,-5,-2,0,-1,-1,0,0
130,17,17,2464,2516,-1,-2,0,-1,-1,0,0
131,21,17,2485,2533,3,-2,0,-1,-1,0,0
132,17,18,2502,2551,-1,-1,0,-1,-1,0,0
133,13,17,2515,2568,-5,-2,0,-1,-1,0,0
134,17,17,2532,2585,-1,-2,0,-1,-1,0,0
135,21,17,2553,2602,3,-2,0,-1,-1,0,0
136,17,18,2570,2620,-1,-1,0,-1,-1,0,0
137,13,17,2583,2637,-5,-2,0,-1,-1,0,0
